"crawl_timestamp","Col1","Col2","Col3","retail_price","is_FK_Advantage_product","brand","Demand"
2016-03-25,"Clothing","Womens","",999,0,"Alisha",2.63588390501319
2016-03-25,"Footwear","Womens","Ballerinas",999,0,"AW",2.00200400801603
2016-03-25,"Clothing","Womens","Lingerie",699,0,"Alisha",2.61797752808989
2016-03-25,"Clothing","Womens","Lingerie",1199,0,"Alisha",2.50313152400835
2016-03-25,"Footwear","Womens","Ballerinas",699,0,"dilli bazaaar",2.00286532951289
2016-03-25,"Clothing","Womens","Lingerie",1199,0,"Alisha",2.50313152400835
2016-03-25,"Footwear","Womens","Ballerinas",1724,0,"Ladela",1.81473684210526
2016-03-25,"Clothing","Womens","Sports",2299,0,"Carrel",2.52637362637363
2016-03-25,"Clothing","Womens","Lingerie",999,0,"Alisha",2.63588390501319
2016-03-25,"Clothing","Womens","Lingerie",999,0,"Alisha",2.63588390501319
2016-03-25,"Footwear","Womens","Ballerinas",899,0,"Style Foot",2.0022271714922
2016-03-25,"Clothing","Womens","Sports",2499,0,"Carrel",2.5015015015015
2016-03-31,"Clothing","Kids","Boys",2400,0,"dongli",2.30991337824832
2016-03-31,"Footwear","Womens","Sports",1500,0,"SWAGGA",1
2016-01-03,"Clothing","Womens","Lingerie",1299,0,"",1.85836909871245
2016-01-03,"Sports","Fitness","Sports",3199,0,"",1.28011204481793
2016-01-03,"Clothing","Womens","Fusion",699,0,"",2.2621359223301
2016-01-03,"Clothing","Mens","Cargos",2199,0,"",1.29429075927016
2016-06-24,"Clothing","Womens","Ethnic",999,0,"Indcrown",1.42918454935622
2016-03-03,"Clothing","Womens","Formal",1200,0,"KAJCI",1.71673819742489
2016-03-03,"Clothing","Womens","Formal",899,0,"Pick Pocket",1
2016-03-03,"Clothing","Kids","Boys",899,0,"Oye",1.17670157068063
2016-05-26,"Footwear","Womens","Casual",1999,0,"Nuride",1.48183839881394
2016-05-26,"Home","Decor","Needs",1499,0,"OM SHIVAKRITI",1
2016-05-26,"Automotive","Accessories","parts",6999,0,"Himmlisch",3.68562401263823
2016-04-05,"Tools","Hardware","Hardware",2299,0,"Rapter",1.64214285714286
2016-04-05,"Tools","Hardware","Hardware",1299,0,"Rapter",1.44493882091212
2016-04-05,"Clothing","Mens","Winter",1399,0,"Roadster",2.00143061516452
2016-04-30,"Sports","Fitness","Sports",440,0,"HRS",1.11392405063291
2016-04-30,"Sports","Fitness","Sports",280,0,"HRS",1.12
2016-04-30,"Home","Furnishing","Accessories",1899,0,"Elegance",2.11234705228031
2016-04-30,"Footwear","Womens","Wedges",1990,0,"Liza",1.42857142857143
2016-04-30,"Sports","Fitness","Sports",250,0,"HRS",1.08695652173913
2016-04-30,"Baby","Care","Bath",600,0,"Sathiyas",1.33630289532294
2016-04-30,"Sports","Fitness","Sports",440,0,"HRS",1.11392405063291
2016-06-20,"Home","Furnishing","Linen",2699,0,"SANTOSH ROYAL FASHION",2.07775211701309
2016-06-20,"Mobiles","Accessories","Accessories",1999,0,"CASEDEAL",5.26052631578947
2016-06-20,"Clothing","Womens","Western",1499,0,"Mario Gotze",1.66740823136819
2016-06-20,"Home","Furnishing","Linen",2599,0,"Jaipur Print",3.72349570200573
2016-06-20,"Home","Furnishing","Linen",2599,0,"Jaipur Print",3.72349570200573
2016-05-17,"Baby","Care","Wear",999,0,"Babeezworld",2.00200400801603
2016-06-06,"Home","Decor","Needs",1600,0,"Redbag",1.33333333333333
2015-12-03,"Clothing","Mens","Shirts",750,0,"Slim",1.27118644067797
2015-12-03,"Clothing","Mens","Shirts",1299,0,"Slim",2.1686143572621
2015-12-04,"Watches","Wrist","Cobra",18995,0,"",1.2500822639026
2015-12-04,"Footwear","Womens","Casual",4995,0,"",2.50375939849624
2015-12-04,"Watches","Wrist","Aries",13699,0,"",1.04580502328422
2015-12-04,"Footwear","Womens","Casual",3495,0,"",2.85772690106296
2015-12-04,"Watches","Wrist","Maserati",24400,0,"",1
2015-12-04,"Watches","Wrist","Vizion",1095,0,"",1.84033613445378
2015-12-04,"Watches","Wrist","Camerii",1099,0,"",2.44766146993318
2015-12-04,"Clothing","Mens","Jeans",5398,0,"Slim",2.07695267410543
2015-12-04,"Footwear","Womens","Casual",2499,0,"",1.11066666666667
2015-12-04,"Watches","Wrist","Colat",3999,0,"",4.71024734982332
2015-12-04,"Footwear","Womens","Casual",1799,0,"",2.50208623087622
2015-12-04,"Watches","Wrist","Rochees",1415,0,"",1.17720465890183
2015-12-04,"Watches","Wrist","Rorlig",1099,0,"",2.75438596491228
2015-12-04,"Footwear","Womens","Casual",2095,0,"",2.0970970970971
2015-12-04,"Footwear","Womens","Casual",3999,0,"",1.90519294902334
2015-12-04,"Watches","Wrist","T",999,0,"",2.50375939849624
2015-12-04,"Footwear","Womens","Casual",3295,0,"",1.1788908765653
2015-12-04,"Footwear","Womens","Casual",2499,0,"",2.00080064051241
2015-12-04,"Watches","Wrist","Alfajr",5495,0,"",1.1001001001001
2015-12-04,"Footwear","Womens","Casual",2299,0,"",1
2015-12-04,"Watches","Wrist","TAG",107750,0,"",1
2015-12-04,"Footwear","Womens","Casual",4195,0,"",1.33343928798474
2015-12-04,"Footwear","Womens","Casual",1499,0,"",1.18031496062992
2015-12-04,"Clothing","Mens","Jeans",2795,0,"Skanders",1.53824986241057
2015-12-04,"Footwear","Womens","Casual",3199,0,"",1.66701406982804
2015-12-04,"Footwear","Womens","Casual",4295,0,"",1.33343682086309
2015-12-04,"Watches","Wrist","Costa",1199,0,"",2.79487179487179
2015-12-04,"Footwear","Womens","Casual",3995,0,"",1
2015-12-04,"Watches","Wrist","Breitling",571230,0,"",1
2015-12-04,"Footwear","Womens","Casual",1199,0,"",1.33370411568409
2015-12-04,"Footwear","Womens","Casual",1049,0,"",2.10220440881764
2015-12-04,"Watches","Wrist","Calibro",2000,0,"",2.86123032904149
2015-12-04,"Footwear","Womens","Casual",3499,0,"",1.25008931761343
2015-12-04,"Footwear","Womens","Casual",2299,0,"",2.55728587319244
2015-12-04,"Footwear","Womens","Casual",1999,0,"",2.001001001001
2015-12-04,"Watches","Wrist","Rochees",1120,0,"",1.17647058823529
2015-12-04,"Footwear","Womens","Casual",2799,0,"",2.15473441108545
2015-12-04,"Footwear","Womens","Casual",3495,0,"",1.33346051125525
2015-12-04,"Watches","Wrist","Fluid",1699,1,"",2.00117785630153
2015-12-04,"Footwear","Womens","Casual",1599,0,"",2.50234741784038
2015-12-04,"Footwear","Womens","Casual",3295,0,"",1.37578288100209
2015-12-04,"Watches","Wrist","Rorlig",1099,0,"",2.75438596491228
2015-12-04,"Clothing","Mens","Jeans",3295,0,"Regular",1.81843267108168
2015-12-04,"Footwear","Womens","Casual",3499,0,"",1.5386983289358
2015-12-04,"Watches","Wrist","Disney",350,0,"",1
2015-12-04,"Footwear","Womens","Casual",3695,0,"",1.33345362684951
2015-12-04,"Watches","Wrist","Cartier",201000,0,"",1
2015-12-04,"Footwear","Womens","Casual",3399,0,"",2.50110375275938
2015-12-04,"Footwear","Womens","Casual",2199,0,"",1.37523452157598
2015-12-04,"Watches","Wrist","Lois",1200,0,"",3.00751879699248
2015-12-04,"Watches","Wrist","Felix",1550,0,"",2.95238095238095
2015-12-04,"Footwear","Womens","Casual",2999,0,"",1.25010421008754
2015-12-04,"Footwear","Womens","Casual",2299,0,"",2.55728587319244
2015-12-04,"Footwear","Womens","Casual",3999,0,"",1.14289797084881
2015-12-04,"Footwear","Womens","Casual",2299,0,"",1.11116481391977
2015-12-04,"Watches","Wrist","Kool",375,0,"",1.42585551330798
2015-12-04,"Watches","Wrist","Franck",1199,0,"",1.25026068821689
2015-12-04,"Footwear","Womens","Casual",2199,0,"",2.00090991810737
2015-12-04,"Watches","Wrist","Kool",475,1,"",1.42642642642643
2015-12-04,"Watches","Wrist","Vizion",1095,0,"",1.84033613445378
2015-12-04,"Watches","Wrist","Vencer",399,0,"",2.77083333333333
2015-12-04,"Footwear","Womens","Casual",3999,0,"",1
2015-12-04,"Watches","Wrist","Casela",3999,0,"",4.44827586206897
2015-12-04,"Footwear","Womens","Casual",1799,0,"",2.00111234705228
2015-12-04,"Watches","Wrist","Timer",1299,0,"",2.36612021857924
2015-12-04,"Clothing","Mens","Jeans",4999,0,"Regular",2.63243812532912
2015-12-04,"Footwear","Womens","Casual",2995,0,"",1
2015-12-04,"Footwear","Womens","Casual",2499,0,"",2.17493472584856
2015-12-04,"Watches","Wrist","Colat",4999,0,"",4.76549094375596
2015-12-04,"Footwear","Womens","Casual",2299,0,"",2.55728587319244
2015-12-04,"Footwear","Womens","Casual",3999,0,"",2.35929203539823
2015-12-04,"Watches","Wrist","Titan",1795,0,"",1.05899705014749
2015-12-04,"Footwear","Womens","Casual",1200,0,"",2.00333889816361
2015-12-04,"Footwear","Womens","Casual",3499,0,"",1
2015-12-04,"Watches","Wrist","Srushti",799,0,"",3.995
2015-12-04,"Footwear","Womens","Casual",2499,0,"",2.17493472584856
2015-12-04,"Watches","Wrist","Q",585,1,"",1.11216730038023
2015-12-04,"Footwear","Womens","Casual",3499,0,"",1.98243626062323
2015-12-04,"Watches","Wrist","Escort",1925,0,"",1.05248769819574
2015-12-04,"Footwear","Womens","Casual",19995,1,"",2.000100030009
2015-12-04,"Clothing","Mens","Jeans",2699,1,"",1.66707844348363
2015-12-04,"Footwear","Womens","Casual",2999,0,"",2.50125104253545
2015-12-04,"Watches","Wrist","Estilo",1299,0,"",4.34448160535117
2015-12-04,"Watches","Wrist","Jack",999,0,"",6.66
2015-12-04,"Watches","Wrist","North",235,0,"",1.56666666666667
2015-12-04,"Footwear","Womens","Casual",1499,0,"",1.18031496062992
2015-12-04,"Footwear","Womens","Casual",2899,0,"",1.70629782224838
2015-12-04,"Footwear","Womens","Casual",4499,0,"",1.28579594169763
2015-12-04,"Watches","Wrist","Rich",999,0,"",6.70469798657718
2015-12-04,"Watches","Wrist","Skmei",2499,0,"",1.47086521483225
2015-12-04,"Footwear","Womens","Casual",2799,0,"",2.15473441108545
2015-12-04,"Watches","Wrist","Kms",1395,0,"",3.98571428571429
2015-12-04,"Footwear","Womens","Casual",499,0,"",1
2015-12-04,"Footwear","Womens","Casual",2999,0,"",1.57925223802001
2015-12-04,"Footwear","Womens","Casual",2199,0,"",2.00090991810737
2015-12-04,"Watches","Wrist","Swag",2499,0,"",2.7797552836485
2015-12-04,"Footwear","Womens","Casual",999,0,"",2.00200400801603
2015-12-04,"Clothing","Mens","Jeans",2499,1,"Skinny Fit",2.00080064051241
2015-12-04,"Footwear","Womens","Casual",1000,0,"",2.00400801603206
2015-12-04,"Footwear","Womens","Casual",3199,0,"",1.25009769441188
2015-12-04,"Watches","Wrist","Q",645,0,"",1
2015-12-04,"Footwear","Womens","Casual",3499,0,"",2.06430678466077
2015-12-04,"Watches","Wrist","Hala",399,0,"",2.50943396226415
2015-12-04,"Footwear","Womens","Casual",2499,0,"",2.00080064051241
2015-12-04,"Footwear","Womens","Casual",2499,0,"",1.25012506253127
2015-12-04,"Watches","Wrist","Franck",1299,0,"",1.66538461538462
2015-12-04,"Footwear","Womens","Casual",2295,0,"",1
2015-12-04,"Watches","Wrist","Ridas",349,0,"",1.40160642570281
2015-12-04,"Footwear","Womens","Casual",4495,0,"",1
2015-12-04,"Footwear","Womens","Casual",2099,1,"",1
2015-12-04,"Watches","Wrist","Skmei",2345,0,"",1.98897370653096
2015-12-04,"Footwear","Womens","Casual",1899,0,"",1.9009009009009
2015-12-04,"Footwear","Womens","Casual",1995,0,"",1
2015-12-04,"Watches","Wrist","Skmei",1799,0,"",1.50041701417848
2015-12-04,"Footwear","Womens","Casual",3299,0,"",1.99939393939394
2015-12-04,"Watches","Wrist","Now",600,0,"",1
2015-12-04,"Watches","Wrist","Disney",1350,0,"",1
2015-12-04,"Footwear","Womens","Casual",3499,0,"",1.25008931761343
2015-12-04,"Footwear","Womens","Casual",2499,0,"",1.04168403501459
2015-12-04,"Footwear","Womens","Casual",3999,0,"",2.2657223796034
2015-12-04,"Footwear","Womens","Casual",3999,0,"",2.00050025012506
2015-12-04,"Footwear","Womens","Casual",1599,0,"",2.50234741784038
2015-12-04,"Watches","Wrist","Jacques",2850,0,"",1.81876196553925
2015-12-04,"Footwear","Womens","Casual",2795,0,"",1.55277777777778
