"Col1","retail_price","is_FK_Advantage_product","brand","Demand"
"Clothing",999,0,"Alisha",2.63588390501319
"Furniture",32157,0,"FabHomeDecor",1.41998586946922
"Footwear",999,0,"AW",2.00200400801603
"Clothing",699,0,"Alisha",2.61797752808989
"Clothing",1199,0,"Alisha",2.50313152400835
"Furniture",32157,0,"Local",1.41998586946922
"Footwear",699,0,"dilli bazaaar",2.00286532951289
"Clothing",1199,0,"Alisha",2.50313152400835
"Footwear",1724,0,"Ladela",1.81473684210526
"Clothing",2299,0,"Carrel",2.52637362637363
"Clothing",999,0,"Alisha",2.63588390501319
"Pens",699,0,"Freelance",1
"Clothing",999,0,"Alisha",2.63588390501319
"Furniture",32157,0,"FabHomeDecor",1.41998586946922
"Footwear",899,0,"Style Foot",2.0022271714922
"Clothing",2499,0,"Carrel",2.5015015015015
"Furniture",32157,0,"FabHomeDecor",1.41998586946922
"Clothing",2400,0,"dongli",2.30991337824832
"Footwear",1500,0,"SWAGGA",1
"Clothing",1299,0,"",1.85836909871245
"Sports",3199,0,"",1.28011204481793
"Beauty",499,0,"",1.27948717948718
"Clothing",699,0,"",2.2621359223301
"Clothing",2199,0,"",1.29429075927016
"Clothing",999,0,"Indcrown",1.42918454935622
"Pens",499,0,"Shopmania",1.81454545454545
"Pens",499,0,"Shopmania",1.81454545454545
"Pens",1000,0,"Tiara Diaries",1.194743130227
"Clothing",1200,0,"KAJCI",1.71673819742489
"Pens",350,0,"Packman",1.1744966442953
"Clothing",899,0,"Pick Pocket",1
"Bags",999,0,"Angelfish",2.50375939849624
"Clothing",899,0,"Oye",1.17670157068063
"Footwear",1999,0,"Nuride",1.48183839881394
"Home",1499,0,"OM SHIVAKRITI",1
"Automotive",6999,0,"Himmlisch",3.68562401263823
"Tools",2299,0,"Rapter",1.64214285714286
"Tools",1299,0,"Rapter",1.44493882091212
"Clothing",1399,0,"Roadster",2.00143061516452
"Sports",440,0,"HRS",1.11392405063291
"Bags",1495,0,"Vermello",1.88050314465409
"Sports",280,0,"HRS",1.12
"Bags",795,0,"Ligans NY",1.14388489208633
"Home",1899,0,"Elegance",2.11234705228031
"Footwear",1990,0,"Liza",1.42857142857143
"Sports",250,0,"HRS",1.08695652173913
"Sports",440,0,"HRS",1.11392405063291
"Home",2699,0,"SANTOSH ROYAL FASHION",2.07775211701309
"Mobiles",1999,0,"CASEDEAL",5.26052631578947
"Clothing",1499,0,"Mario Gotze",1.66740823136819
"Home",2599,0,"Jaipur Print",3.72349570200573
"Pens",900,0,"Shilpi",1.38461538461538
"Home",2599,0,"Jaipur Print",3.72349570200573
"Home",1600,0,"Redbag",1.33333333333333
"Clothing",750,0,"Slim",1.27118644067797
"Clothing",1299,0,"Slim",2.1686143572621
"Watches",18995,0,"",1.2500822639026
"Footwear",4995,0,"",2.50375939849624
"Watches",13699,0,"",1.04580502328422
"Footwear",3495,0,"",2.85772690106296
"Watches",24400,0,"",1
"Watches",1095,0,"",1.84033613445378
"Watches",1099,0,"",2.44766146993318
"Clothing",5398,0,"Slim",2.07695267410543
"Footwear",2499,0,"",1.11066666666667
"Watches",3999,0,"",4.71024734982332
"Footwear",1799,0,"",2.50208623087622
"Watches",1415,0,"",1.17720465890183
"Watches",1099,0,"",2.75438596491228
"Footwear",2095,0,"",2.0970970970971
"Footwear",3999,0,"",1.90519294902334
"Watches",999,0,"",2.50375939849624
"Footwear",3295,0,"",1.1788908765653
"Footwear",2499,0,"",2.00080064051241
"Watches",5495,0,"",1.1001001001001
"Footwear",2299,0,"",1
"Watches",107750,0,"",1
"Footwear",4195,0,"",1.33343928798474
"Footwear",1499,0,"",1.18031496062992
"Clothing",2795,0,"Skanders",1.53824986241057
"Footwear",3199,0,"",1.66701406982804
"Footwear",4295,0,"",1.33343682086309
"Watches",1199,0,"",2.79487179487179
"Footwear",3995,0,"",1
"Watches",571230,0,"",1
"Footwear",1199,0,"",1.33370411568409
"Footwear",1049,0,"",2.10220440881764
"Watches",2000,0,"",2.86123032904149
"Footwear",3499,0,"",1.25008931761343
"Footwear",2299,0,"",2.55728587319244
"Footwear",1999,0,"",2.001001001001
"Watches",1120,0,"",1.17647058823529
"Footwear",2799,0,"",2.15473441108545
"Footwear",3495,0,"",1.33346051125525
"Watches",1699,1,"",2.00117785630153
"Footwear",1599,0,"",2.50234741784038
"Footwear",3295,0,"",1.37578288100209
"Watches",1099,0,"",2.75438596491228
"Clothing",3295,0,"Regular",1.81843267108168
"Footwear",3499,0,"",1.5386983289358
"Watches",350,0,"",1
"Footwear",3695,0,"",1.33345362684951
"Watches",201000,0,"",1
"Footwear",3399,0,"",2.50110375275938
"Footwear",2199,0,"",1.37523452157598
"Watches",1200,0,"",3.00751879699248
"Watches",1550,0,"",2.95238095238095
"Footwear",2999,0,"",1.25010421008754
"Footwear",2299,0,"",2.55728587319244
"Footwear",3999,0,"",1.14289797084881
"Footwear",2299,0,"",1.11116481391977
"Watches",375,0,"",1.42585551330798
"Watches",1199,0,"",1.25026068821689
"Footwear",2199,0,"",2.00090991810737
"Watches",475,1,"",1.42642642642643
"Watches",1095,0,"",1.84033613445378
"Watches",399,0,"",2.77083333333333
"Footwear",3999,0,"",1
"Watches",3999,0,"",4.44827586206897
"Footwear",1799,0,"",2.00111234705228
"Watches",1299,0,"",2.36612021857924
"Clothing",4999,0,"Regular",2.63243812532912
"Footwear",2995,0,"",1
"Footwear",2499,0,"",2.17493472584856
"Watches",4999,0,"",4.76549094375596
"Footwear",2299,0,"",2.55728587319244
"Footwear",3999,0,"",2.35929203539823
"Watches",1795,0,"",1.05899705014749
"Footwear",1200,0,"",2.00333889816361
"Footwear",3499,0,"",1
"Watches",799,0,"",3.995
"Footwear",2499,0,"",2.17493472584856
"Watches",585,1,"",1.11216730038023
"Footwear",3499,0,"",1.98243626062323
"Watches",1925,0,"",1.05248769819574
"Footwear",19995,1,"",2.000100030009
"Clothing",2699,1,"",1.66707844348363
"Footwear",2999,0,"",2.50125104253545
"Watches",1299,0,"",4.34448160535117
"Watches",999,0,"",6.66
"Watches",235,0,"",1.56666666666667
"Footwear",1499,0,"",1.18031496062992
"Footwear",2899,0,"",1.70629782224838
"Footwear",4499,0,"",1.28579594169763
"Watches",999,0,"",6.70469798657718
"Watches",2499,0,"",1.47086521483225
"Footwear",2799,0,"",2.15473441108545
"Watches",1395,0,"",3.98571428571429
"Footwear",499,0,"",1
"Footwear",2999,0,"",1.57925223802001
"Footwear",2199,0,"",2.00090991810737
"Watches",2499,0,"",2.7797552836485
"Footwear",999,0,"",2.00200400801603
"Clothing",2499,1,"Skinny Fit",2.00080064051241
"Footwear",1000,0,"",2.00400801603206
"Footwear",3199,0,"",1.25009769441188
"Watches",645,0,"",1
"Footwear",3499,0,"",2.06430678466077
"Watches",399,0,"",2.50943396226415
"Footwear",2499,0,"",2.00080064051241
"Footwear",2499,0,"",1.25012506253127
"Watches",1299,0,"",1.66538461538462
"Footwear",2295,0,"",1
"Watches",349,0,"",1.40160642570281
"Footwear",4495,0,"",1
"Footwear",2099,1,"",1
"Watches",2345,0,"",1.98897370653096
"Footwear",1899,0,"",1.9009009009009
"Footwear",1995,0,"",1
"Watches",1799,0,"",1.50041701417848
"Footwear",3299,0,"",1.99939393939394
"Watches",600,0,"",1
"Watches",1350,0,"",1
"Footwear",3499,0,"",1.25008931761343
"Footwear",2499,0,"",1.04168403501459
"Footwear",3999,0,"",2.2657223796034
"Footwear",3999,0,"",2.00050025012506
"Footwear",1599,0,"",2.50234741784038
"Watches",2850,0,"",1.81876196553925
"Footwear",2795,0,"",1.55277777777778
"Footwear",4995,0,"",1.33342231713828
"Watches",999,0,"",3.34113712374582
"Footwear",3499,1,"",2.22299872935197
"Watches",1100,0,"",1.375
"Footwear",1200,0,"",2.00333889816361
"Watches",8995,0,"",1.05266237565828
"Footwear",4195,0,"",2.04634146341463
"Watches",1250,0,"",1.25125125125125
"Footwear",1999,0,"",4.0060120240481
"Watches",1350,0,"",2.43243243243243
